datetime,GF,day,hour
2016-01-14 00:00:00,3034.0,14,0
2016-01-14 01:00:00,3118.000000005588,14,1
2016-01-14 02:00:00,3074.999999994412,14,2
2016-01-14 03:00:00,3010.9999999962747,14,3
2016-01-14 04:00:00,3021.0000000037253,14,4
2016-01-14 05:00:00,3014.0,14,5
2016-01-14 06:00:00,3085.0000000037253,14,6
2016-01-14 07:00:00,3173.9999999962747,14,7
2016-01-14 08:00:00,3107.9999999981374,14,8
2016-01-14 09:00:00,4058.0000000037253,14,9
2016-01-14 10:00:00,7263.000000001863,14,10
2016-01-14 11:00:00,8105.999999998137,14,11
2016-01-14 12:00:00,7260.999999990687,14,12
2016-01-14 13:00:00,7044.000000007451,14,13
2016-01-14 14:00:00,7100.999999996275,14,14
2016-01-14 15:00:00,7122.000000001863,14,15
2016-01-14 16:00:00,6924.0,14,16
2016-01-14 17:00:00,6873.000000003725,14,17
2016-01-14 18:00:00,7649.999999996275,14,18
2016-01-14 19:00:00,7075.000000001863,14,19
2016-01-14 20:00:00,7054.999999996275,14,20
2016-01-14 21:00:00,6961.000000003725,14,21
2016-01-14 22:00:00,6967.0,14,22
2016-01-14 23:00:00,6383.0,14,23
2016-01-15 00:00:00,3050.0000000037253,15,0
2016-01-15 01:00:00,3021.9999999962747,15,1
2016-01-15 02:00:00,2996.0,15,2
2016-01-15 03:00:00,2904.0,15,3
2016-01-15 04:00:00,2900.0,15,4
2016-01-15 05:00:00,2947.0000000037253,15,5
2016-01-15 06:00:00,2965.9999999962747,15,6
2016-01-15 07:00:00,3108.0000000037253,15,7
2016-01-15 08:00:00,3032.9999999962747,15,8
2016-01-15 09:00:00,6119.000000003725,15,9
2016-01-15 10:00:00,7166.999999996275,15,10
2016-01-15 11:00:00,6972.0,15,11
2016-01-15 12:00:00,7302.999999996275,15,12
2016-01-15 13:00:00,7211.0,15,13
2016-01-15 14:00:00,7681.0,15,14
2016-01-15 15:00:00,7566.000000003725,15,15
2016-01-15 16:00:00,7272.0,15,16
2016-01-15 17:00:00,7063.0,15,17
2016-01-15 18:00:00,6947.999999994412,15,18
2016-01-15 19:00:00,7350.000000005588,15,19
2016-01-15 20:00:00,6950.000000003725,15,20
2016-01-15 21:00:00,6260.000000001863,15,21
2016-01-15 22:00:00,4822.999999994412,15,22
2016-01-15 23:00:00,2968.0,15,23
2016-01-16 00:00:00,2840.0000000037253,16,0
2016-01-16 01:00:00,2787.9999999962747,16,1
2016-01-16 02:00:00,2791.0000000037253,16,2
2016-01-16 03:00:00,2959.9999999962747,16,3
2016-01-16 04:00:00,2828.0,16,4
2016-01-16 05:00:00,2858.0,16,5
2016-01-16 06:00:00,2801.0,16,6
2016-01-16 07:00:00,3005.0000000037253,16,7
2016-01-16 08:00:00,3903.999999990687,16,8
2016-01-16 09:00:00,7079.000000005588,16,9
2016-01-16 10:00:00,6488.999999998137,16,10
2016-01-16 11:00:00,6201.999999998137,16,11
2016-01-16 12:00:00,7148.0,16,12
2016-01-16 13:00:00,7143.0,16,13
2016-01-16 14:00:00,7399.000000007451,16,14
2016-01-16 15:00:00,8383.99999999255,16,15
2016-01-16 16:00:00,7279.000000007451,16,16
2016-01-16 17:00:00,7098.999999994412,16,17
2016-01-16 18:00:00,7252.000000001863,16,18
2016-01-16 19:00:00,7251.0,16,19
2016-01-16 20:00:00,7276.0,16,20
2016-01-16 21:00:00,6962.000000005588,16,21
2016-01-16 22:00:00,5020.999999998137,16,22
2016-01-16 23:00:00,2974.9999999962747,16,23
2016-01-17 00:00:00,3065.9999999962747,17,0
2016-01-17 01:00:00,2894.0000000018626,17,1
